iteration,Entropy Committee with Uncertainty Sampling, Voter Entropy Committee,Voter Disagreement Committee, Random Committee,Solo Active Learner 1,Solo Active Learner 2,Solo Active Learner 3,Solo Active Learner 4,Solo Active Learner 5,Solo Active Learner 6
0,0.303571,0.410714,0.428571,0.464286,0.482143,0.428571,0.517857,0.232143,0.392857,0.482143
1,0.303571,0.285714,0.446429,0.482143,0.500000,0.410714,0.517857,0.196429,0.428571,0.535714
2,0.357143,0.303571,0.428571,0.446429,0.500000,0.410714,0.535714,0.214286,0.428571,0.517857
3,0.339286,0.339286,0.267857,0.375000,0.464286,0.446429,0.553571,0.214286,0.482143,0.500000
4,0.357143,0.321429,0.267857,0.321429,0.500000,0.428571,0.535714,0.267857,0.482143,0.464286
5,0.303571,0.339286,0.357143,0.392857,0.446429,0.446429,0.500000,0.267857,0.517857,0.482143
6,0.303571,0.464286,0.321429,0.375000,0.410714,0.482143,0.482143,0.285714,0.464286,0.464286
7,0.303571,0.482143,0.392857,0.428571,0.410714,0.410714,0.482143,0.250000,0.464286,0.392857
8,0.339286,0.464286,0.410714,0.410714,0.446429,0.428571,0.464286,0.250000,0.464286,0.410714
9,0.357143,0.500000,0.446429,0.392857,0.446429,0.410714,0.446429,0.250000,0.482143,0.428571
10,0.339286,0.535714,0.446429,0.392857,0.446429,0.446429,0.482143,0.250000,0.428571,0.392857
11,0.392857,0.517857,0.446429,0.375000,0.446429,0.446429,0.482143,0.196429,0.482143,0.410714
12,0.446429,0.517857,0.428571,0.375000,0.428571,0.410714,0.500000,0.196429,0.482143,0.392857
13,0.428571,0.500000,0.410714,0.357143,0.410714,0.464286,0.500000,0.196429,0.500000,0.446429
14,0.446429,0.517857,0.428571,0.392857,0.410714,0.517857,0.517857,0.196429,0.410714,0.446429
15,0.428571,0.535714,0.428571,0.410714,0.446429,0.446429,0.482143,0.214286,0.428571,0.410714
16,0.464286,0.571429,0.428571,0.357143,0.464286,0.482143,0.482143,0.214286,0.446429,0.410714
17,0.517857,0.571429,0.464286,0.392857,0.464286,0.553571,0.500000,0.196429,0.446429,0.446429
18,0.517857,0.553571,0.446429,0.428571,0.482143,0.571429,0.500000,0.232143,0.446429,0.464286
19,0.517857,0.482143,0.464286,0.410714,0.482143,0.571429,0.482143,0.232143,0.446429,0.446429
20,0.535714,0.535714,0.464286,0.446429,0.482143,0.571429,0.464286,0.232143,0.428571,0.428571
21,0.500000,0.553571,0.464286,0.446429,0.464286,0.607143,0.482143,0.232143,0.410714,0.428571
22,0.482143,0.535714,0.517857,0.392857,0.464286,0.571429,0.553571,0.303571,0.410714,0.446429
23,0.482143,0.517857,0.517857,0.410714,0.464286,0.589286,0.571429,0.285714,0.357143,0.464286
24,0.517857,0.517857,0.535714,0.410714,0.464286,0.589286,0.589286,0.285714,0.357143,0.482143
25,0.482143,0.500000,0.535714,0.428571,0.482143,0.571429,0.607143,0.285714,0.392857,0.464286
26,0.535714,0.500000,0.535714,0.375000,0.500000,0.553571,0.589286,0.285714,0.392857,0.446429
27,0.500000,0.500000,0.535714,0.410714,0.464286,0.589286,0.589286,0.285714,0.392857,0.428571
28,0.517857,0.482143,0.535714,0.392857,0.500000,0.571429,0.589286,0.321429,0.392857,0.500000
29,0.535714,0.482143,0.517857,0.357143,0.517857,0.589286,0.589286,0.321429,0.392857,0.500000
30,0.500000,0.482143,0.535714,0.375000,0.500000,0.553571,0.571429,0.303571,0.392857,0.517857
31,0.517857,0.500000,0.553571,0.392857,0.464286,0.571429,0.571429,0.321429,0.392857,0.589286
32,0.500000,0.464286,0.553571,0.392857,0.482143,0.553571,0.553571,0.482143,0.392857,0.589286
33,0.571429,0.482143,0.553571,0.375000,0.464286,0.625000,0.571429,0.482143,0.428571,0.607143
34,0.517857,0.464286,0.553571,0.428571,0.482143,0.607143,0.607143,0.500000,0.446429,0.553571
