,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
0,0,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.23214285714285715,0.25,0.25,0.17857142857142858,0.26785714285714285,0.30357142857142855
1,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.23214285714285715,0.21428571428571427,0.25,0.17857142857142858,0.26785714285714285,0.32142857142857145
2,2,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.25,0.30357142857142855,0.25,0.26785714285714285,0.2857142857142857,0.30357142857142855
3,3,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.25,0.26785714285714285,0.25,0.25,0.30357142857142855,0.32142857142857145
4,4,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.25,0.32142857142857145,0.25,0.21428571428571427,0.30357142857142855,0.32142857142857145
5,5,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.25,0.2857142857142857,0.25,0.21428571428571427,0.30357142857142855,0.35714285714285715
6,6,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.30357142857142855,0.25,0.32142857142857145,0.25,0.21428571428571427,0.30357142857142855,0.3392857142857143
7,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.26785714285714285,0.3392857142857143,0.25,0.21428571428571427,0.30357142857142855,0.375
8,8,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.2857142857142857,0.32142857142857145,0.26785714285714285,0.14285714285714285,0.26785714285714285,0.39285714285714285
9,9,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.26785714285714285,0.23214285714285715,0.26785714285714285,0.35714285714285715
10,10,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.26785714285714285,0.26785714285714285,0.25,0.19642857142857142,0.26785714285714285,0.35714285714285715
11,11,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.26785714285714285,0.25,0.17857142857142858,0.16071428571428573,0.25,0.30357142857142855
12,12,0.25,0.25,0.25,0.25,0.26785714285714285,0.30357142857142855,0.17857142857142858,0.16071428571428573,0.25,0.30357142857142855
13,13,0.25,0.25,0.25,0.25,0.26785714285714285,0.32142857142857145,0.17857142857142858,0.16071428571428573,0.25,0.32142857142857145
